riverid;name;description;region;length
7819;Aliakmon;;Central Macedonia;297
7230;Arachtos;;Ipirus;110
7129;Acheloos;;West Greece;220
7019;Pinios;;Thessaly;205
7962;Axios;Or Vardaris;Central Macedonia;388
7294;Evros;Greek-Turkish Border;Thrace;480
7944;Strymon;;East Macedonia;415
7577;Alfios;;Peloponnese;110
7829;Voidomatis;;Ipirus;15
